County,Asthma,Births,Children_In_Poverty,Communicable_Diseases,COPD_ED,Death_Age,Deaths,ED_Visits,Gini_Coefficient,Poor_Prenatal_Care,Population_2020,Race_White,Race_Black,Race_American_Indian,Race_Asian,Race_Native_Hawaiian,Race_Other,Race_2orMore,Teen_Mother,Under1500G_Birth,,,,,,,,,,,
Morris 2019,"7,893","4,520",0.046,"2,578","3,034",78.2,"3,930","110,588",0.46,7,"509,285","354,824","16,669","1,632","58,034",127,"31,260","46,739",37,44,,,,,,,,,,,
Morris 2020,"5,404","4,621",0.046,"28,147","1,924",78.3,"5,008","77,894",0.46,3,"509,285","354,824","16,669","1,632","58,034",127,"31,260","46,739",30,41,,,,,,,,,,,
Ocean 2016,"13,234","8,555",0.191,"2,146","9,870",77.1,"7,266","212,259",0.43,13,"637,229","534,036","19,079","2,257","11,526",129,"27,850","42,352",114,76,,,,,,,,,,,
Ocean 2017,"11,774","8,593",0.191,"2,506","9,378",77.5,"7,451","206,440",0.43,10,"637,229","534,036","19,079","2,257","11,526",129,"27,850","42,352",123,69,,,,,,,,,,,
Ocean 2018,"10,927","8,993",0.191,"4,008","9,487",77.6,"7,297","206,877",0.43,6,"637,229","534,036","19,079","2,257","11,526",129,"27,850","42,352",104,76,,,,,,,,,,,
Ocean 2019,"10,451","9,011",0.191,"5,282","8,771",77,"7,387","202,026",0.43,14,"637,229","534,036","19,079","2,257","11,526",129,"27,850","42,352",117,75,,,,,,,,,,,
Ocean 2020,"8,599","9,279",0.191,"43,923","6,891",77.2,"8,656","144,734",0.43,12,"637,229","534,036","19,079","2,257","11,526",129,"27,850","42,352",121,81,,,,,,,,,,,
Passaic 2016,"11,725","6,821",0.254,"1,781","2,941",74.5,"3,646","225,256",0.45,18,"524,118","229,573","57,809","6,383","30,852",195,"134,687","64,619",341,100,,,,,,,,,,,
Passaic 2017,"11,442","6,786",0.254,"2,349","2,624",74,"3,838","219,283",0.45,15,"524,118","229,573","57,809","6,383","30,852",195,"134,687","64,619",336,74,,,,,,,,,,,
Passaic 2018,"11,116","6,548",0.254,"3,490","2,661",73.7,"3,791","217,531",0.45,21,"524,118","229,573","57,809","6,383","30,852",195,"134,687","64,619",324,94,,,,,,,,,,,
Passaic 2019,"9,177","6,375",0.254,"3,143","3,432",74,"3,800","220,171",0.45,28,"524,118","229,573","57,809","6,383","30,852",195,"134,687","64,619",282,97,,,,,,,,,,,
Passaic 2020,"7,359","6,242",0.254,"48,469","2,681",73.5,"5,441","156,949",0.45,17,"524,118","229,573","57,809","6,383","30,852",195,"134,687","64,619",274,79,,,,,,,,,,,
Salem 2016,"1,437",655,0.253,130,850,73.5,771,"24,082",0.46,2,"64,837","46,600","9,534",342,667,13,"3,004","4,677",38,7,,,,,,,,,,,
Salem 2017,"1,196",720,0.253,188,697,74.6,728,"23,069",0.46,1,"64,837","46,600","9,534",342,667,13,"3,004","4,677",30,6,,,,,,,,,,,
Salem 2018,"1,338",630,0.253,204,722,72.2,767,"20,734",0.46,1,"64,837","46,600","9,534",342,667,13,"3,004","4,677",43,7,,,,,,,,,,,
Salem 2019,978,670,0.253,225,598,70.6,759,"21,140",0.46,5,"64,837","46,600","9,534",342,667,13,"3,004","4,677",33,16,,,,,,,,,,,
Salem 2020,839,631,0.253,"3,765",543,71.9,930,"16,756",0.46,3,"64,837","46,600","9,534",342,667,13,"3,004","4,677",28,12,,,,,,,,,,,
Somerset 2016,"4,355","3,301",0.06,709,"1,734",76.7,"2,356","60,563",0.45,8,"345,361","185,499","31,842","1,520","67,309",98,"27,854","31,239",72,40,,,,,,,,,,,
Somerset 2017,"4,039","3,118",0.06,864,"1,539",76.5,"2,459","57,391",0.45,8,"345,361","185,499","31,842","1,520","67,309",98,"27,854","31,239",66,54,,,,,,,,,,,
Somerset 2018,"3,740","3,258",0.06,"1,130","1,401",77.5,"2,470","53,873",0.45,4,"345,361","185,499","31,842","1,520","67,309",98,"27,854","31,239",69,45,,,,,,,,,,,
Somerset 2019,"4,095","3,097",0.06,"1,352","1,598",78,"2,514","58,576",0.45,6,"345,361","185,499","31,842","1,520","67,309",98,"27,854","31,239",60,24,,,,,,,,,,,
Somerset 2020,"2,888","2,972",0.06,"17,928","1,139",77.7,"3,100","42,968",0.45,3,"345,361","185,499","31,842","1,520","67,309",98,"27,854","31,239",61,29,,,,,,,,,,,
